Mallard Male,0.9914106130599976,3068,613,3165,667
Not a bird,0.9903440475463867,4547,1471,4648,1526
Not a bird,0.9901261329650879,3338,820,3438,880
Not a bird,0.9885416030883789,1541,1021,1635,1075
Not a bird,0.9874188303947449,1802,1528,1899,1588
Not a bird,0.9872708916664124,4983,2522,5074,2588
Not a bird,0.9868806600570679,3422,2558,3480,2659
Not a bird,0.9863998889923096,4229,1850,4325,1906
Not a bird,0.986354649066925,2927,1740,3018,1794
Not a bird,0.9861143827438354,3185,2032,3241,2126
Not a bird,0.9850865602493286,1545,2573,1645,2633
Not a bird,0.9850822687149048,3240,1379,3323,1454
Not a bird,0.9846928119659424,3812,1809,3910,1873
Not a bird,0.9838215112686157,2789,2514,2886,2583
Not a bird,0.9835320711135864,2633,1771,2727,1823
Mallard Male,0.9822485446929932,2115,1478,2182,1566
Mallard Male,0.9821649789810181,3335,2335,3414,2415
Not a bird,0.9821038842201233,5226,1204,5332,1262
Not a bird,0.9817217588424683,31,2641,133,2706
Not a bird,0.9812694787979126,2811,1730,2867,1830
Not a bird,0.9810699224472046,995,1193,1086,1251
Not a bird,0.980768620967865,2596,2285,2692,2344
Not a bird,0.9805050492286682,4198,2189,4255,2291
Not a bird,0.9804706573486328,3694,2800,3749,2896
Not a bird,0.9803548455238342,2490,1397,2586,1450
Not a bird,0.9797723293304443,1968,813,2026,914
Not a bird,0.9796256422996521,2904,1876,2999,1935
Not a bird,0.9793145656585693,3753,1348,3842,1424
Not a bird,0.9792144298553467,535,2039,625,2098
Mallard Male,0.9791675806045532,3604,1833,3680,1924
Not a bird,0.9789063930511475,3308,1497,3404,1550
Not a bird,0.9786868691444397,4218,1171,4283,1263
Not a bird,0.9785913228988647,2985,2391,3047,2491
Not a bird,0.9780797958374023,763,533,829,615
Not a bird,0.9780541658401489,3395,1033,3448,1123
Not a bird,0.9778221249580383,4322,504,4412,580
Not a bird,0.977805495262146,2644,1864,2743,1918
Not a bird,0.9776727557182312,4052,585,4132,676
Not a bird,0.9775371551513672,2740,1270,2831,1330
Not a bird,0.9768810868263245,1965,2229,2023,2315
Not a bird,0.9767748713493347,2680,1942,2764,1991
Not a bird,0.9767485857009888,1751,1836,1818,1924
Not a bird,0.9765595197677612,2030,1700,2127,1759
Not a bird,0.9764760732650757,2642,1629,2699,1724
Not a bird,0.9763718247413635,1598,2790,1677,2877
Not a bird,0.9760733842849731,3595,1287,3694,1340
