Not a bird,0.9690321683883667,3815,2851,3931,2916
Canvasback_Male,0.9435662627220154,1188,1580,1299,1657
Not a bird,0.9384563565254211,4241,3444,4348,3519
Not a bird,0.9185839891433716,4486,2814,4596,2893
Canvasback_Male,0.9175851941108704,4079,2387,4188,2465
Not a bird,0.9034231901168823,2009,3037,2076,3148
Not a bird,0.8759943842887878,4030,2893,4108,3004
Not a bird,0.8639078140258789,1988,2437,2092,2526
Canvasback_Male,0.8342224955558777,2880,3244,2980,3355
Not a bird,0.8280810117721558,5331,3306,5422,3419
Not a bird,0.7881077527999878,3382,414,3475,520
Not a bird,0.7792251706123352,3332,2807,3423,2916
Not a bird,0.6042391657829285,3570,-1,3667,46
Not a bird,0.5236287117004395,5502,3304,5634,3385
Not a bird,0.39302927255630493,2276,-5,2369,26
Not a bird,0.33163511753082275,5406,3315,5551,3417
